Date,MSFT,GOOGL,CVX,IBM,SBUX,MCD,AAPL,^FVX,^S&P500
8/1/2010,19.073872,223.555984,55.159718,97.66507,9.454132,56.689938,23.41943,1.342,1049.329956
9/1/2010,20.008986,261.196167,60.913952,106.925247,10.622585,58.248032,27.335506,1.281,1141.199951
10/1/2010,21.790096,304.867126,62.078865,114.465996,11.87401,60.796524,28.995392,1.179,1183.26001
11/1/2010,20.638094,276.059509,60.853821,112.76017,12.722158,61.210842,29.975128,1.464,1180.550049
12/1/2010,22.943321,295.065887,69.166672,117.504761,13.472031,60.476669,31.074341,2.016,1257.640015
1/1/2011,22.795359,298.240234,71.9561,129.706772,13.22045,58.042164,32.688938,1.952,1286.119995
2/1/2011,21.850006,304.718109,78.641586,129.610672,13.828431,59.625786,34.027054,2.137,1327.219971
3/1/2011,20.995131,291.484161,82.089264,131.080399,15.61768,60.438976,33.574268,2.225,1325.829956
4/1/2011,21.433393,270.292023,83.578468,137.117188,15.300679,62.202354,33.730331,1.975,1363.609985
5/1/2011,20.680908,262.80072,80.118942,135.790848,15.550046,64.76796,33.508747,1.688,1345.199951
6/1/2011,21.640469,251.553879,79.145416,138.51358,16.810911,67.475502,32.337299,1.754,1320.640015
7/1/2011,22.805725,299.89447,80.053551,146.830017,17.066322,69.204002,37.617512,1.373,1292.280029
8/1/2011,22.139864,268.732147,76.067017,138.80423,16.440552,72.348892,37.073219,0.952,1218.890015
9/1/2011,20.847342,255.855911,71.827911,141.809082,15.98757,70.751678,36.735069,0.965,1131.420044
10/1/2011,22.304728,294.405182,81.493919,149.723816,18.161268,74.80407,38.995125,1.011,1253.300049
11/1/2011,21.42527,297.758362,79.763962,152.456711,18.641451,76.955147,36.819851,0.952,1246.959961
12/1/2011,21.90728,320.863098,83.193733,149.715088,19.881044,81.438271,39.016331,0.83,1257.599976
1/1/2012,24.919954,288.180664,80.629128,156.814896,20.706358,80.399315,43.975723,0.711,1312.410034
2/1/2012,26.784946,307.127441,85.320503,160.177521,20.982908,80.585991,52.256821,0.875,1365.680054
3/1/2012,27.402985,318.548157,84.469566,170.544327,24.321356,80.187469,57.758598,1.043,1408.469971
4/1/2012,27.199123,300.470734,83.957458,169.261063,24.965401,79.656166,56.258648,0.811,1397.910034
5/1/2012,24.795202,288.553253,77.457352,157.6707,23.886189,73.027023,55.656551,0.671,1310.329956
6/1/2012,26.154917,288.160797,83.870392,160.530975,23.345846,72.93148,56.260563,0.729,1362.160034
7/1/2012,25.197304,314.43988,87.113892,160.859329,19.825575,73.615242,58.838543,0.599,1379.319946
8/1/2012,26.351578,340.331482,89.164948,159.931824,21.721447,73.722321,64.086952,0.596,1406.579956
9/1/2012,25.613823,374.812195,93.404686,171.000839,22.376331,76.178947,66.248718,0.63,1440.670044
10/1/2012,24.563795,337.951935,88.340179,160.350861,20.253876,72.069008,59.120358,0.715,1412.160034
11/1/2012,22.911293,346.928558,84.694084,156.674515,22.888199,72.26828,58.123276,0.614,1416.180054
12/1/2012,23.177652,351.404449,87.404549,158.58551,23.862577,73.897377,54.586288,0.725,1426.189941
1/1/2013,23.81979,375.403351,93.070419,168.122955,24.970493,79.828598,46.720993,0.881,1498.109985
2/1/2013,24.123507,398.011322,94.686913,166.268494,24.405411,80.339645,45.275745,0.769,1514.680054
3/1/2013,25.031931,394.528961,96.784393,177.33577,25.530981,84.188385,47.324455,0.769,1569.189941
4/1/2013,28.960394,409.620819,99.382805,168.389999,27.274885,86.257431,47.337276,0.678,1597.569946
5/1/2013,30.535282,432.795074,99.98555,172.946045,28.305984,81.553566,48.080299,1.053,1630.73999
6/1/2013,30.432215,437.340515,97.170784,159.631943,29.567223,84.260742,44.438164,1.385,1606.280029
7/1/2013,28.053324,441.006683,103.370193,162.914627,32.175968,83.477684,50.713947,1.391,1685.72998
8/1/2013,29.427794,420.713654,98.886902,152.247971,31.828434,80.311539,54.601574,1.601,1632.969971
9/1/2013,29.528688,435.124939,100.589676,155.451874,34.937946,82.547638,55.999493,1.388,1681.550049
10/1/2013,31.4186,511.960205,99.314697,150.440308,36.789928,82.813622,61.396824,1.315,1756.540039
11/1/2013,33.832001,526.37146,101.367897,150.834839,36.976032,83.542915,65.316475,1.367,1805.810059
12/1/2013,33.444885,556.734009,104.281166,158.303802,35.81245,83.943619,68.688881,1.748,1848.359985
1/1/2014,33.829311,586.669312,93.194344,149.112961,32.49115,81.469345,61.291309,1.51,1782.589966
2/1/2014,34.249496,603.897217,96.283302,156.278259,32.41806,82.317162,64.43058,1.511,1859.449951
3/1/2014,36.920242,555.445007,100.153854,163.346741,33.778294,85.531235,68.572273,1.732,1872.339966
4/1/2014,36.388817,523.779968,105.721237,166.724167,32.50782,88.454124,75.3881,1.681,1883.949951
5/1/2014,36.875202,556.828247,103.421852,156.447678,33.713856,88.497734,80.870155,1.528,1923.569946
6/1/2014,37.824715,572.134094,110.896446,154.721115,35.882683,88.604195,86.469116,1.625,1960.22998
7/1/2014,39.149036,568.474243,109.783669,163.5979,36.021801,83.168694,88.953499,1.763,1930.670044
8/1/2014,41.208073,568.474243,109.962029,164.135635,36.082077,82.429863,95.373772,1.628,2003.369995
9/1/2014,42.314297,574.202698,102.218536,162.985626,35.228626,84.838318,94.211754,1.78,1972.290039
10/1/2014,42.852802,556.022705,102.758232,141.151749,35.275311,83.871902,100.991234,1.613,2018.050049
11/1/2014,43.63776,538.867004,93.266273,139.237122,37.913021,86.62796,111.211929,1.511,2067.560059
12/1/2014,42.663837,523.521423,96.993088,138.69455,38.622932,84.586273,103.664352,1.653,2058.899902
1/1/2015,37.106987,531.594604,88.649506,132.530914,41.202499,83.448837,110.03186,1.187,1994.98999
2/1/2015,40.275764,555.343933,92.237686,139.991272,44.008015,89.280502,120.644371,1.505,2104.5
3/1/2015,37.611565,545.000854,91.659576,139.719696,44.904213,88.726936,117.32074,1.375,2067.889893
4/1/2015,44.993267,537.340027,96.968124,149.112686,47.019024,87.916527,117.999596,1.442,2085.51001
5/1/2015,43.346725,532.109985,89.930824,147.685028,49.276089,87.351944,122.836502,1.467,2107.389893
6/1/2015,41.10532,520.51001,85.06868,143.770752,51.012112,87.321167,118.757591,1.628,2063.110107
7/1/2015,43.479465,625.609985,78.023003,143.178543,55.112503,91.720764,114.847298,1.548,2103.840088
8/1/2015,40.518764,637.609985,71.418198,130.715927,53.228802,89.396965,106.913086,1.484,1972.180054
9/1/2015,41.479473,608.419983,70.433998,129.198746,54.224617,91.296471,104.905174,1.375,1920.030029
10/1/2015,49.333019,710.809998,81.149109,124.840721,59.690956,104.009224,113.655197,1.528,2079.360107
